Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q56,DMG2302U,SOT-23_alt_silk,177.927,-199.1614,-90,top
Q57,DMG2301L,SOT-23_alt_silk,176.149,-187.3504,-90,top
Q58,DMG2302U,SOT-23_alt_silk,176.149,-191.2874,-90,top
Q59,DMG2301L,SOT-23_alt_silk,174.371,-179.4764,-90,top
Q60,DMG2302U,SOT-23_alt_silk,174.371,-183.4134,-90,top
Q61,DMG2301L,SOT-23_alt_silk,172.593,-195.2244,-90,top
Q62,DMG2302U,SOT-23_alt_silk,172.593,-199.1614,-90,top
Q63,DMG2301L,SOT-23_alt_silk,170.815,-187.3504,-90,top
Q64,DMG2302U,SOT-23_alt_silk,170.815,-191.2874,-90,top
Q65,DMG2301L,SOT-23_alt_silk,169.037,-179.4764,-90,top
Q66,DMG2302U,SOT-23_alt_silk,169.037,-183.4134,-90,top
Q67,DMG2301L,SOT-23_alt_silk,167.259,-195.2244,-90,top
Q68,DMG2302U,SOT-23_alt_silk,167.259,-199.1614,-90,top
Q69,DMG2301L,SOT-23_alt_silk,165.481,-187.3504,-90,top
Q70,DMG2302U,SOT-23_alt_silk,165.481,-191.2874,-90,top
Q71,DMG2301L,SOT-23_alt_silk,163.703,-179.4764,-90,top
Q72,DMG2302U,SOT-23_alt_silk,163.703,-183.4134,-90,top
Q73,DMG2301L,SOT-23_alt_silk,161.925,-195.2244,-90,top
Q74,DMG2302U,SOT-23_alt_silk,161.925,-199.1614,-90,top
Q75,DMG2301L,SOT-23_alt_silk,160.147,-187.3504,-90,top
Q76,DMG2302U,SOT-23_alt_silk,160.147,-191.2874,-90,top
Q77,DMG2301L,SOT-23_alt_silk,158.369,-179.4764,-90,top
Q78,DMG2302U,SOT-23_alt_silk,158.369,-183.4134,-90,top
Q79,DMG2301L,SOT-23_alt_silk,156.591,-195.2244,-90,top
Q80,DMG2302U,SOT-23_alt_silk,156.591,-199.1614,-90,top
Q81,DMG2301L,SOT-23_alt_silk,154.813,-187.3504,-90,top
Q82,DMG2302U,SOT-23_alt_silk,154.813,-191.2874,-90,top
Q83,DMG2301L,SOT-23_alt_silk,153.035,-179.4764,-90,top
Q84,DMG2302U,SOT-23_alt_silk,153.035,-183.4134,-90,top
Q85,DMG2301L,SOT-23_alt_silk,151.257,-195.2244,-90,top
Q86,DMG2302U,SOT-23_alt_silk,151.257,-199.1614,-90,top
Q87,DMG2301L,SOT-23_alt_silk,149.479,-187.3504,-90,top
